,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
4,2023-04-21 20:11:01.438134,3.265691042,1.446097851,8.803479195,-0.102321595,0.019718224,-0.011990812
5,2023-04-21 20:11:01.438134,3.268085241,1.446097851,8.81066227,-0.102055125,0.019718224,-0.011990812
6,2023-04-21 20:11:01.438134,3.270479441,1.446097851,8.817844391,-0.102055125,0.019718224,-0.011990812
7,2023-04-21 20:11:01.438134,3.268085241,1.446097851,8.82263279,-0.10178867,0.019718224,-0.011990812
8,2023-04-21 20:11:01.438134,3.27287364,1.443703651,8.825027466,-0.10178867,0.019718224,-0.011990812
9,2023-04-21 20:11:01.438134,3.275267839,1.443703651,8.829815865,-0.10178867,0.019718224,-0.011990812
10,2023-04-21 20:11:01.438134,3.275267839,1.446097851,8.832210541,-0.101522207,0.019984685,-0.011990812
11,2023-04-21 20:11:01.438134,3.275267839,1.446097851,8.827422142,-0.101255737,0.019984685,-0.011990812
12,2023-04-21 20:11:01.438134,3.275267839,1.44849205,8.827422142,-0.101255737,0.019984685,-0.011990812
13,2023-04-21 20:11:01.438134,3.27287364,1.446097851,8.827422142,-0.100989282,0.020251149,-0.011724349
14,2023-04-21 20:11:01.438134,3.270479441,1.44849205,8.829815865,-0.100989282,0.020251149,-0.011990812
0,2023-04-21 20:11:01.468110,3.260902643,1.453280449,8.839392662,-0.10285452,0.018652374,-0.011724349
1,2023-04-21 20:11:01.468110,3.260902643,1.453280449,8.839392662,-0.10285452,0.018385911,-0.011457887
2,2023-04-21 20:11:01.468110,3.260902643,1.458068848,8.83699894,-0.10285452,0.018385911,-0.011724349
3,2023-04-21 20:11:01.468110,3.263296843,1.458068848,8.834604263,-0.10285452,0.018385911,-0.011724349
4,2023-04-21 20:11:01.468110,3.263296843,1.460463047,8.834604263,-0.10285452,0.018385911,-0.011724349
5,2023-04-21 20:11:01.468110,3.265691042,1.462857246,8.829815865,-0.10258805,0.018652374,-0.011724349
6,2023-04-21 20:11:01.468110,3.265691042,1.460463047,8.829815865,-0.102321595,0.018652374,-0.011457887
7,2023-04-21 20:11:01.468110,3.265691042,1.460463047,8.834604263,-0.102321595,0.018652374,-0.011724349
